index,x,y,image_path
0,3526,2820,
1,3134,2542,
2,3701,2640,
3,3336,2100,
4,362,2544,
5,1640,4057,
6,2841,682,
7,2322,3265,
8,528,1285,
9,3492,2732,
10,3195,2970,
11,4071,1971,
12,1143,2486,
13,3271,1416,
14,1283,1312,
15,1556,1555,
16,2213,940,
17,2009,1585,
18,1022,1162,
19,2368,451,
20,2949,1749,
21,2148,927,
22,1650,3751,
23,2367,1365,
24,1603,3320,
25,2322,3265,
26,1741,1099,
27,2947,938,
28,2148,3861,
29,4043,2046,
30,2405,2754,
31,2377,1334,
32,3181,2837,
33,2227,2586,
34,1056,2779,
35,1224,1414,
36,3506,2585,
37,16,2394,
38,2342,1048,
39,2382,1037,
40,1614,3960,
41,1611,1256,
42,2957,713,
43,1715,3693,
44,3336,2100,
45,33,2262,
46,1717,2906,
47,3484,2647,
48,3520,3037,
49,3078,16,
50,2885,3243,
51,2152,3869,
52,2750,1144,
53,2406,2718,
54,2575,3361,
55,1611,1256,
56,1989,1130,
57,2058,3686,
58,1314,1594,
59,2987,637,
60,4019,2025,
61,2841,682,
62,1487,1142,
63,3078,16,
64,2015,3910,
65,3345,2566,
66,4080,1978,
67,2405,2754,
68,2425,368,
69,1611,1256,
70,3314,2986,
71,149,2070,
72,1392,1066,
73,612,1918,
74,1640,4057,
75,2739,3195,
76,1570,2860,
77,2102,2858,
78,2290,1130,
79,647,1532,
80,3048,2761,
81,2145,3569,
82,1637,3980,
83,2673,79,
84,3655,2816,
85,936,1405,
86,2472,522,
87,33,2262,
88,2450,3065,
89,337,2251,
90,674,2518,
91,528,1285,
92,3465,1507,
93,1508,3603,
94,4071,1971,
95,2146,3570,
96,1715,2956,
97,1611,1256,
98,2476,3015,
99,3834,2873,
100,2472,522,
101,1022,1162,
102,1770,3672,
103,1921,4080,
104,1869,1493,
105,2410,215,
106,2864,2840,
107,16,2394,
108,1436,1830,
109,744,1691,
110,2387,1196,
111,2352,3360,
112,2547,2993,
113,3834,2873,
114,1969,1091,
115,2987,637,
116,1542,2999,
117,1102,1475,
118,3044,1596,
119,2724,3281,
120,1444,926,
