i,j,similarity
20,72,-0.06949498504400253
31,105,-0.06028693914413452
31,32,-0.0589127391576767
20,109,-0.0482574999332428
31,110,-0.04236821457743645
31,42,-0.03857038542628288
20,85,-0.036323659121990204
31,48,-0.03507494181394577
20,79,-0.034336190670728683
18,27,-0.0339081734418869
27,101,-0.0339081734418869
31,117,-0.030544385313987732
23,115,-0.028806215152144432
23,59,-0.028806209564208984
20,27,-0.028788713738322258
20,41,-0.024337634444236755
20,55,-0.024337634444236755
20,69,-0.024337634444236755
20,97,-0.024337634444236755
16,31,-0.023631339892745018
27,110,-0.023233694955706596
20,89,-0.022573642432689667
54,83,-0.022338686510920525
27,82,-0.020476577803492546
27,102,-0.020085370168089867
12,31,-0.019074181094765663
27,31,-0.018996911123394966
108,115,-0.01853092946112156
59,108,-0.018530916422605515
27,40,-0.016242727637290955
27,70,-0.016118451952934265
31,56,-0.016014602035284042
0,31,-0.015018885023891926
34,83,-0.014706587418913841
46,83,-0.014195495285093784
42,56,-0.014078361913561821
31,52,-0.014072995632886887
90,92,-0.013694919645786285
27,114,-0.013651703484356403
3,31,-0.01337248645722866
31,44,-0.01337248645722866
27,35,-0.012512626126408577
31,119,-0.01230194978415966
20,71,-0.011866926215589046
20,73,-0.011481492780148983
10,31,-0.010719009675085545
31,84,-0.010194145143032074
31,41,-0.00998641923069954
31,55,-0.00998641923069954
31,69,-0.00998641923069954
